 |name|stars|Tier0Mats|Tier1Mats|Tier2Mats|Tier3Mats
|Greydwarf|0|95|5|0|0
|Greydwarf|1|94|6|0|0
|Greydwarf|2|91|9|0|0
|Greydwarf|3|89|11|0|0
|Greydwarf|4|85|15|0|0
|Greydwarf|5|80|19|1|0
|Greydwarf|6|73|26|1|0
|Greydwarf|7|69|30|1|0
|Greydwarf|8|62|36|2|0
|Greydwarf|9|64|34|2|0
|Greydwarf|10|58|39|3|0
|Wolf|0|78|21|1|0
|Wolf|1|56|41|3|0
|Wolf|2|35|55|9|1
|Wolf|3|25|59|15|1
|Wolf|4|18|60|20|2
|Wolf|5|14|59|24|3
|Wolf|6|13|58|25|4
|Wolf|7|12|57|27|4
|Wolf|8|12|57|27|4
|Wolf|9|10|56|29|5
|Wolf|10|9|55|31|5
|Troll|0|70|29|1|0
|Troll|1|41|52|7|0
|Troll|2|23|60|16|1
|Troll|3|16|59|22|3
|Troll|4|13|58|25|4
|Troll|5|11|56|28|5
|Troll|6|6|49|37|8
|Troll|7|5|45|40|10
|Troll|8|4|42|42|12
|Troll|9|3|40|43|14
|Troll|10|3|38|44|15
